Entity,Last name,Occupation/role in history,National/Ethnic Origin,Race,"If Asian, in U.S.?",
Syngman Rhee,Rhee,Politician,Korean,Asian,No,
Matthew B. Ridgway,Ridgway,Military,American,White,N/A,
Ridgway,Ridgway,Military,American,White,N/A,
Matthew Ridgway,Ridgway,Military,American,White,N/A,
Grace Roberts,Roberts,Military,American,White,N/A,
Teddy Roosevelt,Roosevelt,Politician,American,White,N/A,
Theodore Roosevelt,Roosevelt,Politician,American,White,N/A,
Franklin Roosevelt,Roosevelt,Politician,American,White,N/A,
PresidentTheodore Roosevelt,Roosevelt,Politician,American,White,N/A,
Roosevelt,Roosevelt,Politician,American,White,N/A,
Franklin Delano Roosevelt,Roosevelt,Politician,American,White,N/A,
Franklin D. Roosevelt,Roosevelt,Politician,American,White,N/A,
Elihu Root,Root,Politician,American,White,N/A,
Dean Rusk,Rusk,Politician,American,White,N/A,
lleana Ros-Lehtinen,s-Lehtinen,Politician,"Cuban, American","White, Hispanic",N/A,
Utagawa Sadahide,Sadahide,Artist,Japanese,Asian,No,
Uncle Sam,Sam,N/A,N/A,N/A,N/A,
Sammy,Sammy,Child,"Japanese, American",Asian,Yes,
Schurz,Schurz,Politician,"American, German",White,N/A,
Carl Schurz,Schurz,Politician,"American, German",White,N/A,
Brent Scowcroft,Scowcroft,Military,American,White,N/A,
Fong See,See,Immigrant,China,Asian,Yes,
Seward,Seward,Politician,American,White,N/A,
Shaw,Shaw,Pioneer,American,White,N/A,
jyawng jeh SHEE,SHEE,N/A,N/A,N/A,N/A,
Shelley,Shelley,Plaintiff,American,Black,N/A,
Sihanouk,Sihanouk,Politician,Cambodian,Asian,No,
Henry Kissinger–Tho,singer–Tho,Politician,American,White,N/A,
Dalip Singh,Singh,Politician,"Indian, American",Asian,Yes,
Snepp,Snepp,Government,American,White,N/A,
Monica Sone,Sone,Internee,"Japanese, American",Asian,Yes,
Benjamin Spock,Spock,Activist,American,White,N/A,
The Joint Chiefs of Staff,Staff,N/A,N/A,N/A,N/A,
Stalin,Stalin,Politician,Russian,White,N/A,
Joseph Stalin,Stalin,Politician,Russian,White,N/A,
Leland Stanford,Stanford,Businessman,American,White,N/A,
Jane Stanford's,Stanford's,Philanthropist,American,White,N/A,
Edward R. Stettinius,Stettinius,Businessman,American,White,N/A,
Joseph W. Stilwell,Stilwell,Military,American,White,N/A,
Stilwell,Stilwell,Military,American,White,N/A,
Henry L. Stimson,Stimson,Politician,American,White,N/A,
Henry Stimson,Stimson,Politician,American,White,N/A,
Westmoreland,stmoreland,Military,American,White,N/A,
Sugimotos,Sugimotos,Internee,"American, Japanese",Asian,Yes,
Kim Il Sung,Sung,Politician,Korean,Asian,No,
Arthur Szyk's,Szyk's,Artist,Polish,White,N/A,
Taft,Taft,Politician,American,White,N/A,
William Howard Taft,Taft,Politician,American,White,N/A,
William Howard Taft-a,Taft-a,Politician,American,White,N/A,
Ronald Takaki,Takaki,Academic,"American, Japanese",Asian,Yes,
Amy Tan,Tan,Author,"American, Chinese",Asian,Yes,
Amy Tan's,Tan's,Author,"American, Chinese",Asian,Yes,
Tape,Tape,Plaintiff,Chinese,Asian,Yes,
ter.,ter.,N/A,N/A,N/A,N/A,
James Thach,Thach,Military,American,White,N/A,
Nguyen Tat Thanh,Thanh,Politician,Vietnamese,Asian,No,
Le Thanh,Thanh,Witness,Vietnamese,Asian,No,
Nguyen That Thanh,Thanh,Politician,Vietnamese,Asian,No,
Thieu,Thieu,Politician,Vietnamese,Asian,No,
Nguyen Van Thieu,Thieu,Politician,Vietnamese,Asian,No,
Bhagat Singh Thind,Thind,Defendant,Indian,Asian,Yes,
Le Due Tho,Tho,Politician,Vietnamese,Asian,No,
Le Duc Tho,Tho,Politician,Vietnamese,Asian,No,
Hugh Thompson,Thompson,Military,American,White,N/A,
Bui Tin,Tin,Military,Vietnamese,Asian,No,
Heihachiro Togo,Togo,Military,Japanese,Asian,No,
Tojo,Tojo,"Politician, Military",Japanese,Asian,No,
HIDEKI TOJO,TOJO,"Politician, Military",Japanese,Asian,No,
Hideki Tojo,Tojo,"Politician, Military",Japanese,Asian,No,
Hideki Tōjō,Tōjō,"Politician, Military",Japanese,Asian,No,
Harry Truman,Truman,Politician,American,White,N/A,
truman,truman,Politician,American,White,N/A,
